n,k,cmp_method1,cmp_method2,time_method1_us,time_method2_us
2000,2,3960,3960,560.84,364.07
2000,4,17873,15928,2478.61,1511.54
2000,8,69569,47845,6691.98,6480.05
2000,16,267861,127601,27856.25,17103.61
2000,32,1049747,319491,106134.35,29855.57
2000,64,4132829,766518,401027.17,75042.74
2000,128,16403116,1788824,1633420.5,172858.64
2000,256,65392448,4090163,6267202.79,378798.92
